,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FK Aktobe,43,24.5,16,€221k,€9.50m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2011/plus/1
1,Zhetysu Taldykorgan,36,24.3,11,€169k,€6.10m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2011/plus/1
2,FC Astana,26,23.7,8,€200k,€5.20m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2011/plus/1
3,Ordabasy Shymkent,26,24.4,9,€138k,€3.58m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2011/plus/1
4,Kairat Almaty,39,21.8,11,€89k,€3.48m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2011/plus/1
5,FK Atyrau,32,24.0,11,€88k,€2.83m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2011/plus/1
6,Okzhetpes Kokshetau,41,23.2,13,€64k,€2.63m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2011/plus/1
7,Tobol Kostanay,47,24.8,14,€152k,€7.15m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2011/plus/1
8,Irtysh Pavlodar,42,25.9,14,€124k,€5.23m,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2011/plus/1
9,FK Taraz,31,23.9,9,€126k,€3.90m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2011/plus/1
10,Shakhter Karaganda,38,23.4,11,€93k,€3.55m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2011/plus/1
11,Sunkar Kaskelen,38,23.7,12,€88k,€3.33m,https://www.transfermarkt.com/sunkar-kaskelen/kader/verein/35124/saison_id/2011/plus/1
12,Akzhayik Uralsk,37,21.5,8,€75k,€2.78m,https://www.transfermarkt.com/akzhayik-uralsk/kader/verein/28178/saison_id/2011/plus/1
13,Kaysar Kyzylorda,38,23.8,14,€61k,€2.30m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2011/plus/1
