,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FC Astana,45,22.5,12,€302k,€13.60m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2013/plus/1
1,Shakhter Karaganda,40,23.6,15,€198k,€7.90m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2013/plus/1
2,Kairat Almaty,37,22.1,14,€211k,€7.83m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2013/plus/1
3,Tobol Kostanay,29,24.7,12,€197k,€5.73m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2013/plus/1
4,Ordabasy Shymkent,31,24.7,8,€128k,€3.98m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2013/plus/1
5,FK Taraz,31,23.3,8,€84k,€2.60m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2013/plus/1
6,FK Aktobe,37,24.5,13,€335k,€12.40m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2013/plus/1
7,Irtysh Pavlodar,45,25.0,18,€174k,€7.85m,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2013/plus/1
8,FK Atyrau,32,24.0,13,€196k,€6.28m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2013/plus/1
9,Spartak Semey,46,22.0,11,€92k,€4.23m,https://www.transfermarkt.com/spartak-semey/kader/verein/31007/saison_id/2013/plus/1
10,Kaysar Kyzylorda,29,24.1,13,€121k,€3.50m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2013/plus/1
11,Zhetysu Taldykorgan,40,22.0,7,€56k,€2.23m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2013/plus/1
