,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FC Astana,52,22.3,13,€410k,€21.30m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2015/plus/1
1,FK Aktobe,51,23.3,18,€243k,€12.40m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2015/plus/1
2,Irtysh Pavlodar,41,23.4,10,€217k,€8.90m,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2015/plus/1
3,FK Taraz,40,23.9,10,€184k,€7.35m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2015/plus/1
4,Akzhayik Uralsk,35,25.6,10,€176k,€6.18m,https://www.transfermarkt.com/akzhayik-uralsk/kader/verein/28178/saison_id/2015/plus/1
5,Okzhetpes Kokshetau,35,25.2,9,€139k,€4.85m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2015/plus/1
6,Kairat Almaty,40,23.7,15,€448k,€17.93m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2015/plus/1
7,Ordabasy Shymkent,38,26.7,13,€295k,€11.20m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2015/plus/1
8,Tobol Kostanay,31,24.3,11,€283k,€8.78m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2015/plus/1
9,FK Atyrau,31,23.6,8,€219k,€6.80m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2015/plus/1
10,Zhetysu Taldykorgan,36,24.1,13,€161k,€5.80m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2015/plus/1
11,Shakhter Karaganda,33,23.8,11,€140k,€4.63m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2015/plus/1
