,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FK Aktobe,34,24.7,13,€438k,€14.90m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2014/plus/1
1,FC Astana,41,23.0,12,€263k,€10.78m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2014/plus/1
2,Irtysh Pavlodar,38,24.3,14,€233k,€8.85m,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2014/plus/1
3,Ordabasy Shymkent,25,25.6,7,€247k,€6.18m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2014/plus/1
4,Okzhetpes Kokshetau,30,24.9,9,€200k,€6.00m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2014/plus/1
5,Zhetysu Taldykorgan,35,23.5,12,€123k,€4.30m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2014/plus/1
6,Kairat Almaty,40,23.0,16,€361k,€14.43m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2014/plus/1
7,Shakhter Karaganda,46,24.3,16,€202k,€9.28m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2014/plus/1
8,Tobol Kostanay,34,24.0,13,€245k,€8.33m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2014/plus/1
9,FK Atyrau,27,25.1,9,€222k,€6.00m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2014/plus/1
10,Kaysar Kyzylorda,33,24.7,12,€180k,€5.95m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2014/plus/1
11,FK Taraz,36,22.6,9,€112k,€4.03m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2014/plus/1
