,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Irtysh Pavlodar,26,24.8,9,-,-,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2001/plus/1
1,Zhenis Astana,31,21.6,9,-,-,https://www.transfermarkt.com/zhenis-astana/kader/verein/12019/saison_id/2001/plus/1
2,Shakhter Karaganda,27,24.4,5,-,-,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2001/plus/1
3,Elimay Semipalatinsk,28,20.9,4,-,-,https://www.transfermarkt.com/elimay-semipalatinsk/kader/verein/31007/saison_id/2001/plus/1
4,Kairat Almaty,32,21.4,7,-,-,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2001/plus/1
5,Kaysar Kyzylorda,27,22.6,3,-,-,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2001/plus/1
6,FK Atyrau,30,24.0,7,-,-,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2001/plus/1
7,Tobol Kostanay,22,24.9,4,-,-,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2001/plus/1
8,Aktobe-Lento Aktobe,28,23.6,3,-,-,https://www.transfermarkt.com/aktobe-lento-aktobe/kader/verein/10157/saison_id/2001/plus/1
9,Yesil-Bogatyr Petropavlovsk,32,23.2,7,-,-,https://www.transfermarkt.com/yesil-bogatyr-petropavlovsk/kader/verein/22995/saison_id/2001/plus/1
10,Vostok-Altyn Oskemen,28,21.6,5,-,-,https://www.transfermarkt.com/vostok-altyn-oskemen/kader/verein/16780/saison_id/2001/plus/1
11,Esil Kokhetau,30,25.7,11,-,-,https://www.transfermarkt.com/esil-kokhetau/kader/verein/19662/saison_id/2001/plus/1
