,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Ordabasy Shymkent,25,27.9,11,€465k,€11.63m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2023/plus/1
1,FC Astana,23,27.4,10,€433k,€9.95m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2023/plus/1
2,Tobol Kostanay,25,25.6,11,€307k,€7.68m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2023/plus/1
3,Qyzyljar Petropavlovsk,25,27.5,13,€224k,€5.61m,https://www.transfermarkt.com/qyzyljar-petropavlovsk/kader/verein/22995/saison_id/2023/plus/1
4,Kaysar Kyzylorda,29,27.6,11,€169k,€4.91m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2023/plus/1
5,FK Turan,25,26.5,12,€173k,€4.33m,https://www.transfermarkt.com/fk-turan/kader/verein/77711/saison_id/2023/plus/1
6,Shakhter Karaganda,27,24.8,10,€117k,€3.15m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2023/plus/1
7,FK Aktobe,22,27.0,11,€457k,€10.05m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2023/plus/1
8,Yelimay Semey,28,27.3,12,€294k,€8.24m,https://www.transfermarkt.com/yelimay-semey/kader/verein/31007/saison_id/2023/plus/1
9,Kairat Almaty,25,23.5,9,€262k,€6.55m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2023/plus/1
10,FC Zhenis Astana,27,25.6,12,€186k,€5.04m,https://www.transfermarkt.com/fc-zhenis-astana/kader/verein/12019/saison_id/2023/plus/1
11,FK Atyrau,25,26.8,12,€187k,€4.67m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2023/plus/1
12,Zhetysu Taldykorgan,24,25.0,9,€169k,€4.05m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2023/plus/1
