,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Tobol Kostanay,46,23.6,12,€86k,€3.95m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2009/plus/1
1,FK Aktobe,34,24.3,9,€104k,€3.53m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2009/plus/1
2,Shakhter Karaganda,29,22.1,7,€45k,€1.30m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2009/plus/1
3,FK Atyrau,32,22.1,8,€36k,€1.15m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2009/plus/1
4,Kairat Almaty,32,22.1,5,€25k,€800k,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2009/plus/1
5,FK Taraz,32,20.5,8,€20k,€650k,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2009/plus/1
6,Lokomotiv Astana,31,22.7,8,€126k,€3.90m,https://www.transfermarkt.com/lokomotiv-astana/kader/verein/22220/saison_id/2009/plus/1
7,Zhetysu Taldykorgan,33,22.5,8,€50k,€1.65m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2009/plus/1
8,Okzhetpes Kokshetau,58,23.0,14,€22k,€1.28m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2009/plus/1
9,Irtysh Pavlodar,37,23.5,10,€22k,€800k,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2009/plus/1
10,Ordabasy Shymkent,40,21.1,8,€19k,€775k,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2009/plus/1
11,Akzhayik Uralsk,42,20.6,8,€14k,€575k,https://www.transfermarkt.com/akzhayik-uralsk/kader/verein/28178/saison_id/2009/plus/1
