,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Irtysh Pavlodar,27,24.2,12,-,-,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2002/plus/1
1,Zhenis Astana,38,23.2,14,-,-,https://www.transfermarkt.com/zhenis-astana/kader/verein/12019/saison_id/2002/plus/1
2,Aktobe-Lento Aktobe,29,23.8,8,-,-,https://www.transfermarkt.com/aktobe-lento-aktobe/kader/verein/10157/saison_id/2002/plus/1
3,Kairat Almaty,41,22.6,11,-,-,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2002/plus/1
4,Elimay Semipalatinsk,24,24.3,6,-,-,https://www.transfermarkt.com/elimay-semipalatinsk/kader/verein/31007/saison_id/2002/plus/1
5,Yesil-Bogatyr Petropavlovsk,30,25.1,9,-,-,https://www.transfermarkt.com/yesil-bogatyr-petropavlovsk/kader/verein/22995/saison_id/2002/plus/1
6,Kaysar Kyzylorda,32,23.3,10,-,-,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2002/plus/1
7,Ekibastuzets Ekibastuz (-2008),30,21.6,7,-,-,https://www.transfermarkt.com/ekibastuzets-ekibastuz-2008-/kader/verein/8832/saison_id/2002/plus/1
8,Esil Kokhetau,32,22.2,16,-,-,https://www.transfermarkt.com/esil-kokhetau/kader/verein/19662/saison_id/2002/plus/1
9,Tobol Kostanay,27,23.9,7,-,-,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2002/plus/1
10,FK Atyrau,40,24.3,14,-,-,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2002/plus/1
11,Ordabasy Shymkent,30,23.6,18,-,-,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2002/plus/1
12,Zhetysu Taldykorgan,33,25.5,16,-,-,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2002/plus/1
13,Shakhter Karaganda,23,24.9,4,-,-,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2002/plus/1
14,FK Taraz,29,23.6,10,-,-,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2002/plus/1
15,Vostok Oskemen,24,25.8,8,-,-,https://www.transfermarkt.com/vostok-oskemen/kader/verein/16780/saison_id/2002/plus/1
16,Batys Uralsk,28,23.6,11,-,-,https://www.transfermarkt.com/batys-uralsk/kader/verein/28178/saison_id/2002/plus/1
