,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FK Aktobe,36,24.6,12,€169k,€6.08m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2010/plus/1
1,Lokomotiv Astana,28,24.1,8,€145k,€4.05m,https://www.transfermarkt.com/lokomotiv-astana/kader/verein/22220/saison_id/2010/plus/1
2,Zhetysu Taldykorgan,26,23.6,7,€147k,€3.83m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2010/plus/1
3,FK Taraz,30,21.7,8,€82k,€2.45m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2010/plus/1
4,Ordabasy Shymkent,30,22.1,6,€70k,€2.10m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2010/plus/1
5,Vostok Oskemen,37,23.1,11,€53k,€1.97m,https://www.transfermarkt.com/vostok-oskemen/kader/verein/16780/saison_id/2010/plus/1
6,Tobol Kostanay,43,24.6,11,€118k,€5.08m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2010/plus/1
7,Shakhter Karaganda,49,23.4,12,€78k,€3.83m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2010/plus/1
8,FK Atyrau,48,23.8,13,€52k,€2.48m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2010/plus/1
9,Irtysh Pavlodar,32,23.8,7,€70k,€2.25m,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2010/plus/1
10,Kairat Almaty,32,23.7,9,€63k,€2.00m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2010/plus/1
11,Kaysar Kyzylorda,37,22.6,8,€39k,€1.43m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2010/plus/1
