,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Kairat-Almaty KTZ,25,24.4,6,-,-,https://www.transfermarkt.com/kairat-almaty-ktz/kader/verein/10482/saison_id/2003/plus/1
1,Tobol Kostanay,31,24.6,10,-,-,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2003/plus/1
2,FK Atyrau,35,23.6,14,-,-,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2003/plus/1
3,FK Taraz,28,23.9,12,-,-,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2003/plus/1
4,Shakhter Karaganda,24,23.8,10,-,-,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2003/plus/1
5,Okzhetpes Kokshetau,26,22.9,14,-,-,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2003/plus/1
6,Ordabasy Shymkent,34,24.4,12,-,-,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2003/plus/1
7,Yassi Sairam,26,24.7,14,-,-,https://www.transfermarkt.com/yassi-sairam/kader/verein/89990/saison_id/2003/plus/1
8,Akzhayik Uralsk,30,23.3,12,-,-,https://www.transfermarkt.com/akzhayik-uralsk/kader/verein/28178/saison_id/2003/plus/1
9,Semey Semipalatinsk,31,21.9,7,-,-,https://www.transfermarkt.com/semey-semipalatinsk/kader/verein/31007/saison_id/2003/plus/1
10,Irtysh Pavlodar,28,24.6,13,-,-,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2003/plus/1
11,Aktobe-Lento Aktobe,24,24.7,9,-,-,https://www.transfermarkt.com/aktobe-lento-aktobe/kader/verein/10157/saison_id/2003/plus/1
12,Yesil-Bogatyr Petropavlovsk,26,25.0,10,-,-,https://www.transfermarkt.com/yesil-bogatyr-petropavlovsk/kader/verein/22995/saison_id/2003/plus/1
13,Ekibastuzets Ekibastuz (-2008),23,22.8,11,-,-,https://www.transfermarkt.com/ekibastuzets-ekibastuz-2008-/kader/verein/8832/saison_id/2003/plus/1
14,Zhenis Astana,40,24.1,23,-,-,https://www.transfermarkt.com/zhenis-astana/kader/verein/12019/saison_id/2003/plus/1
15,Vostok Oskemen,29,24.5,14,-,-,https://www.transfermarkt.com/vostok-oskemen/kader/verein/16780/saison_id/2003/plus/1
16,Zhetysu Taldykorgan,28,24.0,9,-,-,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2003/plus/1
17,Kaysar Kyzylorda,26,24.1,10,-,-,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2003/plus/1
18,FK Alma-Ata,35,22.1,10,-,-,https://www.transfermarkt.com/fk-alma-ata/kader/verein/34817/saison_id/2003/plus/1
