,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Kairat Almaty,56,21.2,17,€479k,€26.80m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2021/plus/1
1,Tobol Kostanay,58,23.2,15,€353k,€20.45m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2021/plus/1
2,FK Aktobe,32,24.5,12,€352k,€11.28m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2021/plus/1
3,FK Aksu,38,24.6,14,€256k,€9.73m,https://www.transfermarkt.com/fk-aksu/kader/verein/65768/saison_id/2021/plus/1
4,Kaspiy Aktau,33,24.0,11,€225k,€7.43m,https://www.transfermarkt.com/kaspiy-aktau/kader/verein/34239/saison_id/2021/plus/1
5,FK Atyrau,38,22.9,15,€149k,€5.68m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2021/plus/1
6,Akzhayik Uralsk,35,26.0,21,€148k,€5.18m,https://www.transfermarkt.com/akzhayik-uralsk/kader/verein/28178/saison_id/2021/plus/1
7,FC Astana,57,23.6,21,€373k,€21.28m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2021/plus/1
8,Shakhter Karaganda,63,23.6,26,€230k,€14.48m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2021/plus/1
9,Qyzyljar Petropavlovsk,53,23.1,23,€192k,€10.18m,https://www.transfermarkt.com/qyzyljar-petropavlovsk/kader/verein/22995/saison_id/2021/plus/1
10,FK Turan,50,23.3,16,€176k,€8.80m,https://www.transfermarkt.com/fk-turan/kader/verein/77711/saison_id/2021/plus/1
11,FK Taraz,31,24.5,6,€188k,€5.83m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2021/plus/1
12,FK Maktaaral,36,25.0,15,€152k,€5.48m,https://www.transfermarkt.com/fk-maktaaral/kader/verein/44486/saison_id/2021/plus/1
13,Ordabasy Shymkent,30,21.3,13,€166k,€4.98m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2021/plus/1
