,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Shakhter Karaganda,36,24.8,14,€19k,€700k,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2006/plus/1
1,FK Aktobe,36,25.6,13,€3k,€100k,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2006/plus/1
2,Ordabasy Shymkent,26,23.1,5,€2k,€50k,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2006/plus/1
3,Zhetysu Taldykorgan,28,25.5,10,-,-,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2006/plus/1
4,Vostok Oskemen,25,24.0,7,-,-,https://www.transfermarkt.com/vostok-oskemen/kader/verein/16780/saison_id/2006/plus/1
5,Yesil-Bogatyr Petropavlovsk,26,24.3,8,-,-,https://www.transfermarkt.com/yesil-bogatyr-petropavlovsk/kader/verein/22995/saison_id/2006/plus/1
6,Kairat Almaty,48,23.6,12,-,-,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2006/plus/1
7,Okzhetpes Kokshetau,29,22.4,8,-,-,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2006/plus/1
8,FC Astana,28,22.5,9,€7k,€200k,https://www.transfermarkt.com/fc-astana/kader/verein/12019/saison_id/2006/plus/1
9,Tobol Kostanay,30,24.6,5,€3k,€100k,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2006/plus/1
10,Irtysh Pavlodar,27,21.9,8,-,-,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2006/plus/1
11,FK Alma-Ata,27,21.9,5,-,-,https://www.transfermarkt.com/fk-alma-ata/kader/verein/34817/saison_id/2006/plus/1
12,Kaysar Kyzylorda,28,23.6,5,-,-,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2006/plus/1
13,Ekibastuzets Ekibastuz (-2008),25,24.5,9,-,-,https://www.transfermarkt.com/ekibastuzets-ekibastuz-2008-/kader/verein/8832/saison_id/2006/plus/1
14,FK Atyrau,36,23.9,19,-,-,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2006/plus/1
15,FK Taraz,32,22.8,4,-,-,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2006/plus/1
