,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Lokomotiv Astana,29,25.9,8,€391k,€11.35m,https://www.transfermarkt.com/lokomotiv-astana/kader/verein/22220/saison_id/2008/plus/1
1,Zhetysu Taldykorgan,45,24.7,20,€33k,€1.50m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2008/plus/1
2,Kaysar Kyzylorda,33,22.8,9,€26k,€850k,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2008/plus/1
3,Ordabasy Shymkent,30,21.4,6,€15k,€450k,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2008/plus/1
4,Irtysh Pavlodar,31,23.0,8,€8k,€250k,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2008/plus/1
5,Shakhter Karaganda,39,24.0,7,€3k,€100k,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2008/plus/1
6,Vostok Oskemen,35,23.1,8,-,-,https://www.transfermarkt.com/vostok-oskemen/kader/verein/16780/saison_id/2008/plus/1
7,Tobol Kostanay,29,24.1,7,€116k,€3.35m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2008/plus/1
8,FK Atyrau,30,22.3,7,€32k,€950k,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2008/plus/1
9,FK Aktobe,29,24.6,6,€17k,€500k,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2008/plus/1
10,FK Taraz,31,21.0,8,€10k,€300k,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2008/plus/1
11,Qyzyljar Petropavlovsk,31,21.8,9,€4k,€125k,https://www.transfermarkt.com/qyzyljar-petropavlovsk/kader/verein/22995/saison_id/2008/plus/1
12,Kazakhmys Satpaev (-2011),27,21.1,4,-,-,https://www.transfermarkt.com/kazakhmys-satpaev-2011-/kader/verein/22997/saison_id/2008/plus/1
13,Okzhetpes Kokshetau,34,22.6,7,-,-,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2008/plus/1
