,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Kairat Almaty,42,23.8,16,€477k,€20.05m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2016/plus/1
1,FK Aktobe,50,24.1,25,€381k,€19.03m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2016/plus/1
2,Tobol Kostanay,32,24.4,12,€334k,€10.70m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2016/plus/1
3,Kaysar Kyzylorda,33,25.6,10,€265k,€8.75m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2016/plus/1
4,FK Taraz,41,24.3,9,€185k,€7.58m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2016/plus/1
5,Shakhter Karaganda,37,24.0,10,€181k,€6.70m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2016/plus/1
6,FC Astana,39,23.1,13,€499k,€19.45m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2016/plus/1
7,Ordabasy Shymkent,41,27.3,17,€370k,€15.15m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2016/plus/1
8,Irtysh Pavlodar,33,25.5,12,€289k,€9.55m,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2016/plus/1
9,Okzhetpes Kokshetau,35,25.6,14,€237k,€8.30m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2016/plus/1
10,FK Atyrau,35,25.2,10,€194k,€6.80m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2016/plus/1
11,Akzhayik Uralsk,32,24.7,10,€146k,€4.68m,https://www.transfermarkt.com/akzhayik-uralsk/kader/verein/28178/saison_id/2016/plus/1
