,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FK Aktobe,23,24.6,10,-,-,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2004/plus/1
1,Kairat-Almaty KTZ,26,25.1,8,-,-,https://www.transfermarkt.com/kairat-almaty-ktz/kader/verein/10482/saison_id/2004/plus/1
2,Irtysh Pavlodar,25,23.3,12,-,-,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2004/plus/1
3,Yesil-Bogatyr Petropavlovsk,24,24.9,13,-,-,https://www.transfermarkt.com/yesil-bogatyr-petropavlovsk/kader/verein/22995/saison_id/2004/plus/1
4,Okzhetpes Kokshetau,23,23.2,9,-,-,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2004/plus/1
5,FK Taraz,30,24.2,11,-,-,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2004/plus/1
6,FK Alma-Ata,31,19.4,3,-,-,https://www.transfermarkt.com/fk-alma-ata/kader/verein/34817/saison_id/2004/plus/1
7,Zhetysu Taldykorgan,26,25.9,15,-,-,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2004/plus/1
8,Tobol Kostanay,30,25.1,11,-,-,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2004/plus/1
9,Shakhter Karaganda,25,24.5,6,-,-,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2004/plus/1
10,Ordabasy Shymkent,30,23.7,17,-,-,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2004/plus/1
11,Zhenis Astana,27,25.2,19,-,-,https://www.transfermarkt.com/zhenis-astana/kader/verein/12019/saison_id/2004/plus/1
12,FK Atyrau,32,23.6,16,-,-,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2004/plus/1
13,Ekibastuzets Ekibastuz (-2008),28,24.4,15,-,-,https://www.transfermarkt.com/ekibastuzets-ekibastuz-2008-/kader/verein/8832/saison_id/2004/plus/1
14,Vostok Oskemen,29,23.4,10,-,-,https://www.transfermarkt.com/vostok-oskemen/kader/verein/16780/saison_id/2004/plus/1
15,Bolat-AMT Temirtau (-2016),32,22.6,8,-,-,https://www.transfermarkt.com/bolat-amt-temirtau-2016-/kader/verein/40909/saison_id/2004/plus/1
