,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FC Astana,47,24.9,20,€544k,€25.58m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2022/plus/1
1,Ordabasy Shymkent,31,24.7,11,€523k,€16.20m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2022/plus/1
2,FK Aktobe,29,24.7,16,€359k,€10.43m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2022/plus/1
3,FK Aksu,43,24.1,19,€206k,€8.86m,https://www.transfermarkt.com/fk-aksu/kader/verein/65768/saison_id/2022/plus/1
4,Zhetysu Taldykorgan,44,23.9,16,€128k,€5.65m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2022/plus/1
5,FK Maktaaral,33,25.1,17,€167k,€5.51m,https://www.transfermarkt.com/fk-maktaaral/kader/verein/44486/saison_id/2022/plus/1
6,Shakhter Karaganda,32,22.5,6,€152k,€4.87m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2022/plus/1
7,Tobol Kostanay,42,26.7,21,€440k,€18.50m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2022/plus/1
8,Qyzyljar Petropavlovsk,47,26.6,28,€245k,€11.51m,https://www.transfermarkt.com/qyzyljar-petropavlovsk/kader/verein/22995/saison_id/2022/plus/1
9,Kairat Almaty,38,20.6,9,€270k,€10.25m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2022/plus/1
10,Kaspiy Aktau,41,22.9,18,€174k,€7.13m,https://www.transfermarkt.com/kaspiy-aktau/kader/verein/34239/saison_id/2022/plus/1
11,FK Atyrau,28,24.4,13,€197k,€5.53m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2022/plus/1
12,Okzhetpes Kokshetau,28,26.0,11,€192k,€5.38m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2022/plus/1
13,Kaysar Kyzylorda,27,24.4,12,€114k,€3.08m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2022/plus/1
