,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FC Astana,37,25.3,14,€1.00m,€37.13m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2019/plus/1
1,Tobol Kostanay,43,24.8,15,€512k,€22.00m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2019/plus/1
2,Kaysar Kyzylorda,45,25.9,18,€306k,€13.78m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2019/plus/1
3,Kyzyl-Zhar SK Petropavlovsk,31,26.1,18,€283k,€8.78m,https://www.transfermarkt.com/kyzyl-zhar-sk-petropavlovsk/kader/verein/22995/saison_id/2019/plus/1
4,FK Taraz,33,23.7,11,€221k,€7.30m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2019/plus/1
5,Kaspiy Aktau,39,24.5,12,€157k,€6.13m,https://www.transfermarkt.com/kaspiy-aktau/kader/verein/34239/saison_id/2019/plus/1
6,Kairat Almaty,44,22.0,13,€568k,€24.98m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2019/plus/1
7,Ordabasy Shymkent,35,26.1,10,€531k,€18.60m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2019/plus/1
8,Shakhter Karaganda,35,24.0,15,€296k,€10.35m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2019/plus/1
9,Okzhetpes Kokshetau,31,25.1,15,€246k,€7.63m,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2019/plus/1
10,Zhetysu Taldykorgan,29,25.7,12,€246k,€7.13m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2019/plus/1
