,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,Shakhter Karaganda,37,23.7,11,€51k,€1.90m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2007/plus/1
1,MegaSport Almaty (-2008),38,25.0,9,€11k,€400k,https://www.transfermarkt.com/megasport-almaty-2008-/kader/verein/19660/saison_id/2007/plus/1
2,Kairat Almaty,33,22.6,7,€5k,€150k,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2007/plus/1
3,FK Aktobe,35,25.0,11,€3k,€100k,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2007/plus/1
4,FK Atyrau,33,24.2,18,€2k,€50k,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2007/plus/1
5,Kaysar Kyzylorda,28,22.3,7,-,-,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2007/plus/1
6,Yesil-Bogatyr Petropavlovsk,31,22.9,7,-,-,https://www.transfermarkt.com/yesil-bogatyr-petropavlovsk/kader/verein/22995/saison_id/2007/plus/1
7,Zhetysu Taldykorgan,31,24.6,16,-,-,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2007/plus/1
8,FC Astana,55,22.9,16,€10k,€550k,https://www.transfermarkt.com/fc-astana/kader/verein/12019/saison_id/2007/plus/1
9,Energetik-2 Ekibastuz,37,24.2,12,€8k,€300k,https://www.transfermarkt.com/energetik-2-ekibastuz/kader/verein/20933/saison_id/2007/plus/1
10,Tobol Kostanay,35,23.3,8,€3k,€100k,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2007/plus/1
11,Vostok Oskemen,32,24.4,9,€2k,€50k,https://www.transfermarkt.com/vostok-oskemen/kader/verein/16780/saison_id/2007/plus/1
12,Okzhetpes Kokshetau,40,22.0,9,-,-,https://www.transfermarkt.com/okzhetpes-kokshetau/kader/verein/19662/saison_id/2007/plus/1
13,FK Alma-Ata,39,21.5,4,-,-,https://www.transfermarkt.com/fk-alma-ata/kader/verein/34817/saison_id/2007/plus/1
14,Ordabasy Shymkent,29,21.8,8,-,-,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2007/plus/1
15,Irtysh Pavlodar,29,22.9,9,-,-,https://www.transfermarkt.com/irtysh-pavlodar/kader/verein/10540/saison_id/2007/plus/1
