,Club,Squad,Age,Foreigners,Market Value,Total Market Value,Links
0,FC Astana,55,23.4,18,€678k,€37.28m,https://www.transfermarkt.com/fc-astana/kader/verein/22220/saison_id/2020/plus/1
1,Tobol Kostanay,47,22.6,10,€388k,€18.23m,https://www.transfermarkt.com/tobol-kostanay/kader/verein/10481/saison_id/2020/plus/1
2,FK Aktobe,39,25.4,18,€438k,€17.10m,https://www.transfermarkt.com/fk-aktobe/kader/verein/10157/saison_id/2020/plus/1
3,Shakhter Karaganda,74,21.7,24,€177k,€13.13m,https://www.transfermarkt.com/shakhter-karaganda/kader/verein/10480/saison_id/2020/plus/1
4,FK Taraz,36,24.5,6,€243k,€8.75m,https://www.transfermarkt.com/fk-taraz/kader/verein/22994/saison_id/2020/plus/1
5,Kaspiy Aktau,31,24.9,12,€264k,€8.18m,https://www.transfermarkt.com/kaspiy-aktau/kader/verein/34239/saison_id/2020/plus/1
6,Akzhayik Uralsk,32,25.2,16,€236k,€7.55m,https://www.transfermarkt.com/akzhayik-uralsk/kader/verein/28178/saison_id/2020/plus/1
7,Kairat Almaty,52,21.1,15,€595k,€30.95m,https://www.transfermarkt.com/kairat-almaty/kader/verein/10482/saison_id/2020/plus/1
8,Ordabasy Shymkent,44,23.7,12,€409k,€18.00m,https://www.transfermarkt.com/ordabasy-shymkent/kader/verein/16779/saison_id/2020/plus/1
9,Kaysar Kyzylorda,45,25.5,18,€304k,€13.70m,https://www.transfermarkt.com/kaysar-kyzylorda/kader/verein/19294/saison_id/2020/plus/1
10,Kyzyl-Zhar SK Petropavlovsk,42,23.7,17,€221k,€9.30m,https://www.transfermarkt.com/kyzyl-zhar-sk-petropavlovsk/kader/verein/22995/saison_id/2020/plus/1
11,FK Atyrau,34,24.8,14,€243k,€8.25m,https://www.transfermarkt.com/fk-atyrau/kader/verein/16198/saison_id/2020/plus/1
12,FK Turan,39,24.6,14,€199k,€7.75m,https://www.transfermarkt.com/fk-turan/kader/verein/77711/saison_id/2020/plus/1
13,Zhetysu Taldykorgan,44,23.6,13,€149k,€6.58m,https://www.transfermarkt.com/zhetysu-taldykorgan/kader/verein/15299/saison_id/2020/plus/1
